Date,Title,Evaluation,Prob
2017-08-31,"IDC: Fitness band wearables decreased for first time in Q2, smartwatches soar",neutral,0.948657572
2017-09-01,NPD: AirPods were 85% of wireless headphone market this year,negative,0.908385754
2017-09-01,"Apple changes Siri head, goes Hollywood",neutral,0.83539027
2017-09-05,Oppenheimer Global ESG Revenue ETF (ESGF) August Summary,neutral,0.803697407
2017-09-05,Piper Jaffray says fewer customers show iPhone upgrade interest this year,neutral,0.913072526
2017-09-05,Oppenheimer Large Cap Revenue ETF (RWL) August Summary,positive,0.722909689
2017-09-05,Bernstein outlines how Apple rally could continue after launch event,neutral,0.887932003
2017-09-05,Barclays: Apple smart home products build loyalty not revenue,neutral,0.817715824
2017-09-05,Apple planning $5B bond sale,neutral,0.894427836
2017-09-06,"Trump's move to end Dreamers"" program sparks corporate condemnation""",neutral,0.902412653
2017-09-06,Huawei outsold Apple this summer; Apple starts iOS 11 ads,negative,0.830490351
2017-09-06,Apple and Amazon among bidders for Bond franchise,positive,0.847491205
2017-09-06,KGI: iPhone 8 price could trace back to Samsung's OLED supply monopoly,positive,0.529255331
2017-09-06,Bloomberg: Apple will help select fund manager for Irish back taxes,neutral,0.926588237
2017-09-06,"Apple denies Indian government-backed app, regulators could change rules",neutral,0.918940902
2017-09-07,Apple won't have second OLED supplier until 2019,neutral,0.734562218
2017-09-07,Apple hires more Sony execs in original programming bid,neutral,0.933258593
2017-09-07,"WSJ sources confirm rumors of iPhone 8 production issues, delays",positive,0.574712992
2017-09-07,Bernstein: iPhone 8 delay could turn away customers,negative,0.957636476
2017-09-08,WDC seeks Apple funding for Toshiba bid,negative,0.912415147
2017-09-08,Bloomberg: Court sides with Apple in Qualcomm royalty dispute (update),neutral,0.626287162
2017-09-08,Reuters: Apple warns Western Digital away from Toshiba control,negative,0.631310225
2017-09-10,Equalization tax across the EU?,negative,0.87785989
2017-09-11,Apple hit by iPhone X leak,neutral,0.881522357
2017-09-11,Reuters: Apple faces hard sell with premium iPhone in China,negative,0.824810088
2017-09-11,"KGI Securities expects iPhone X to launch in severe short supply""""",negative,0.937314928
2017-09-11,Munster expects Apple shares to drop; Cook refutes claims products for rich,negative,0.877407968
2017-09-12,Apple's biggest event in years,negative,0.965451121
2017-09-12,TrendForce: Global iPhone production volume will grow 5.6% this year,neutral,0.818400562
2017-09-12,Apple iPhone Event 2017: Live updates,positive,0.945087314
2017-09-13,Bain-Apple closer to buying Toshiba unit,neutral,0.94029659
2017-09-13,Apple suppliers' shares fall across Asia,neutral,0.76210618
2017-09-13,Analyst: Apple could sell half its usual volume of iPhones in first week,negative,0.966280341
2017-09-13,"Apple roundup: product, accessory products pricing adds up",neutral,0.802879989
2017-09-14,Apple Face ID may recognize only one face; new charging case coming in Dec.?,positive,0.636677742
2017-09-14,Ad trade groups blast Apple's new Safari privacy feature,neutral,0.923825204
2017-09-15,Preorders start for iPhone 8 and Apple Watch,negative,0.877791345
2017-09-15,KGI reduces iPhone X shipment estimates,neutral,0.940856516
2017-09-15,Apple updates developer app guide; Watch only works in home country,negative,0.952896714
2017-09-18,Apple's iPhone X comes with slimmer margins?,neutral,0.933460474
2017-09-18,"KGI: iPhone X eating 8 pre-orders, Watch beats expectations",positive,0.411357939
2017-09-19,"Morgan Stanley raises Apple price target, says iPhone X price will increase demand",neutral,0.819183588
2017-09-19,"Apple iOS 11 launches today with AR, App Store changes",positive,0.850821972
2017-09-20,Apple issues statement on Watch cellular connection issues,neutral,0.903820932
2017-09-20,Rosenblatt: iPhone 8 pre-orders lower than previous models,neutral,0.939928472
2017-09-20,"Apple's iOS 11 leaves Bluetooth, Wi-Fi running in background",negative,0.962493241
2017-09-20,Raymond James: Apple hasn't begun final production of iPhone X,neutral,0.938618064
2017-09-21,"Apple TV lacks Dolby Atmos, YouTube 4K; Apple Pay comes to ALDI",neutral,0.881499469
2017-09-22,Piper Jaffray increases Apple price target and ASP forecast; iPhone 8 launches today,neutral,0.84829545
2017-09-22,"Tim Cook thrilled"" with iPhone",positive,0.587036133
2017-09-23,"Jenkins: ESPN's not doomed, just having to change with times",neutral,0.766954362
2017-09-25,Apple slows iPhone X supplier orders; soft initial sales for iPhone 8 models,neutral,0.924565554
2017-09-25,Next year's iPhones could include 6-in LCD; iPhone X pre-orders could top 50M,negative,0.968818367
2017-09-25,"Apple ditches Bing for Google, releases macOS Sierra",neutral,0.76908958
2017-09-26,Asymco: Apple Watch sold $4.9B in past year,neutral,0.90396899
2017-09-26,Rival bidder wants to lure Apple out of Toshiba chip unit winner,neutral,0.830524385
2017-09-26,ICE announces launch of FANG-based tech index,neutral,0.877647936
2017-09-26,Sensor production issues for iPhone X; analyst expects X to boost profit margins,neutral,0.847358465
2017-09-26,FDA selects tech companies for regulatory pilot program,positive,0.950868249
2017-09-26,"Apple roundup: component costs won't hurt margins, Apple TV now on Amazon",neutral,0.910162151
2017-09-27,SK Hynix details Toshiba deal plans,neutral,0.872556686
2017-09-27,WSJ details 3D sensor delays for iPhone X,neutral,0.940091968
2017-09-28,Toshiba signs $18B deal to sell chip unit,neutral,0.639626563
2017-09-28,Apple Music tops 30M paid subscribers,neutral,0.696219981
2017-09-28,FCC chair wants Apple to activate iPhone FM chips after disaster (update),neutral,0.836953044
2017-09-28,"Deutsche Bank calls Street iPhone expectations more than Apple can chew""""",neutral,0.885646522
2017-09-29,Nikkei: Apple plans to switch chips from Intel to ARM,neutral,0.815848947
2017-09-29,Apple acquires small computer vision company with photo API,neutral,0.850728273
2017-10-02,WSJ: Samsung earns $110 on each iPhone X,neutral,0.839046478
2017-10-02,KGI ups time it would take Android makers to catch up with iPhone X camera,neutral,0.877412379
2017-10-02,RBC: Fewer consumers want new iPhones compared to last year's models,neutral,0.563110709
2017-10-03,Oppenheimer Global ESG Revenue ETF (ESGF) September Summary,positive,0.659745574
2017-10-03,Oppenheimer Large Cap Revenue ETF (RWL) September Summary,neutral,0.926107526
2017-10-04,EU steps up war on tax avoidance,neutral,0.90653795
2017-10-04,Ireland responds to EU action on Apple money,neutral,0.713244915
2017-10-04,Brightwire: iPhone X shipment may delay until December,positive,0.6301983
2017-10-04,"Apple updates watchOS to fix connection issue, acqui-hires AI team for Siri",negative,0.823308825
2017-10-05,"Apple inches closer to India retail store, iPhone unit",neutral,0.676308215
2017-10-05,DOJ backs Apple in Samsung case; Watch Nike+ Series 3 now in stores,neutral,0.846479297
2017-10-06,New report of iPhone 8 Plus battery issue,neutral,0.885979891
2017-10-06,"KGI: Apple's iPhone super cycle"" coming in 2018""",neutral,0.816693127
2017-10-06,Apple announces new general counsel,neutral,0.830844462
2017-10-06,CNBC: Apple loses its head of iCloud services,neutral,0.878203094
2017-10-09,BofAML: Apple could benefit from Trump tax plan,negative,0.941297472
2017-10-09,KGI: Apple will bring Face ID system to iPad Pro,positive,0.725414217
2017-10-10,"RBC Capital says tax plan could push Apple to trillion dollar market-cap""""",neutral,0.796397507
2017-10-10,64% of Americans own an Apple product; Supreme Court seeks advice on Apple case,positive,0.456261575
2017-10-10,"wSJ: Apple signs deal with Spielberg, NBC to bring back Amazing Stories""""",neutral,0.857336938
2017-10-11,IDC: Worldwide PC sales totaled 67.2M in Q3,positive,0.634656787
2017-10-11,Apple considers creative office in Culver City; Tim Cook says no AR glasses for now,neutral,0.922923565
2017-10-11,"Apple plans flexible OLEDs with LG, not Samsung",neutral,0.933919311
2017-10-12,Irish High Court gives Apple permission for data center,neutral,0.943963051
2017-10-12,Nikkei: Apple's iPhone X still facing production delays,neutral,0.75001657
2017-10-13,KGI says Apple ditching Touch ID; iOS use grew in August,negative,0.948244393
2017-10-13,Qualcomm files suit to block iPhone sales in China (update),positive,0.895427465
2017-10-16,Foxconn starts iPhone X shipments but only 46.5K units,negative,0.875690758
2017-10-16,KeyBanc upgrades Apple on iPhone X pricing,neutral,0.78148365
2017-10-16,"Apple roundup: iPhone 7 outselling 8, Huawei launching X rival, Pay coming to India",neutral,0.750326395
2017-10-16,"Analyst: iPhone X could provide strongest iPhone product cycle""""",positive,0.734078586
2017-10-17,Apple pushing further into healthcare,positive,0.553029299
2017-10-17,"Credit Suisse trims iPhone estimates on shipping, ASP issues",positive,0.573810518
2017-10-17,"In slowing PC market, Microsoft adds another Surface model",negative,0.595923841
2017-10-19,WSJ: Apple Watch loses cellular service in China,positive,0.436242491
2017-10-19,Apple drops on iPhone 8 sales speculation,neutral,0.860203564
2017-10-20,Facebook's Instant Articles only launching on Android for now,negative,0.967068911
2017-10-20,KGI: Apple will ship 2M to 3M iPhones for X launch,neutral,0.951294184
2017-10-20,Apple COO will meet with Foxconn head; senators want VPN answers,neutral,0.849007487
2017-10-20,Apple stores won't upsell iPhone X; company sued over animoji use,neutral,0.936954081
2017-10-20,Variety: Apple hires Amazon Studio's international development head,negative,0.943821371
2017-10-23,Apple Watch discounts for life insurance holders; iPhone 8 underperforming 6S,neutral,0.914423347
2017-10-23,Apple sees iPhone as AI platform; weak supplier sales hint iPhone disinterest?,positive,0.51667124
2017-10-23,U.S. judge orders new trial to decide how much Samsung owes Apple,negative,0.955919564
2017-10-23,Bernstein survey shows 48% excited about iPhone X,neutral,0.724080682
2017-10-24,Nikkei Asian Review: Apple will ship 20M iPhone X units this year,neutral,0.575341105
2017-10-25,Apple buys wireless charging specialist,neutral,0.642869353
2017-10-25,LG Display's earnings suggest stronger iPhone 8 sales,neutral,0.882908762
2017-10-25,Apple suppliers lowered Face ID accuracy; HSBC initiates on iPhone X sales optimism,positive,0.958284974
2017-10-27,iPhone X available for pre-order,negative,0.909935474
2017-10-27,"Preorders start for iPhone X, delivery window hits six weeks",neutral,0.859911501
2017-10-30,Apple shares up on analyst reports of strong iPhone X sales,neutral,0.882145464
2017-10-31,Apple could drop Qualcomm components,positive,0.935257733
2017-10-31,HSBC analyst calls Apple a luxury brand; Chinese vendors cut iPhone 8 prices,negative,0.76554352
2017-10-31,"Apple sends out memo confirming Watch Series 3 edge stripes""""",negative,0.902935624
2017-11-01,Apple's legal path clears for Ireland data center,neutral,0.927795172
2017-11-02,Oppenheimer Global ESG Revenue ETF (ESGF) October Summary,neutral,0.892058432
2017-11-02,Oppenheimer Large Cap Revenue ETF (RWL) October Summary,neutral,0.92777729
2017-11-02,Bloomberg: Qualcomm's latest Apple suit involves Intel,neutral,0.893761158
2017-11-02,"Apple beats by $0.20, beats on revenue",neutral,0.660549641
2017-11-02,Apple declares $0.63 dividend,positive,0.691623569
2017-11-02,"Apple up 2.9% after Q3 beats revenue, EPS, and device estimates",neutral,0.870654225
2017-11-03,iPhone X hits stores across globe,positive,0.945340574
2017-11-04,Apple's Irish data center in doubt,positive,0.710908949
2017-11-06,Supreme Court declines to hear Samsung appeal on Apple damages,neutral,0.836621404
2017-11-06,KGI analyst expects two OLED iPhones; Apple offering fixed-rate bonds,negative,0.822753727
2017-11-06,IDC: Top smartphone makers gained China market share in Q3,neutral,0.755125821
2017-11-06,CreditSights: Apple bond offering could total $7B,positive,0.949152648
2017-11-07,Strategy Analytics says Apple topped Q3 market; start-up sues Apple for patent,neutral,0.922466218
2017-11-08,Bloomberg: Apple planning AR headset for 2020,negative,0.707581401
2017-11-08,Bloomberg: Apple could launch iPad with Face ID next year,neutral,0.897477567
2017-11-08,"Judge allows Apple, Qualcomm revisions in patent case; Apple buys TV show",neutral,0.917200267
2017-11-09,Apple's first scripted TV show,neutral,0.787091017
2017-11-09,"Canalys data, assembler report hint at weaker iPhone 8 sales",neutral,0.903333127
2017-11-09,Apple acquires image sensor start-up,negative,0.864351034
2017-11-10,"Apple acknowledges iPhone X issue in some devices, plans fix",neutral,0.836616337
2017-11-13,HomePod manufacturer says facial recognition will come to speakers,neutral,0.799870908
2017-11-13,"KGI analyst expects three iPhones next year, two with OLED",neutral,0.663296342
2017-11-14,Apple Watch sells 3.9M units in Q3; Foxconn losses tied to iPhone X delays,neutral,0.79599762
2017-11-14,Bloomberg: Apple wants rear-facing 3D sensor by 2019,negative,0.950582683
2017-11-14,China smartphone sales dropped 8.1% in October despite new iPhones,neutral,0.810798407
2017-11-14,"Berkshire adds to position in Apple, cuts back on IBM",negative,0.974755228
2017-11-15,Apple takes fourth spot in Q3 global notebook market,neutral,0.504918993
2017-11-15,Wells Fargo initiates Apple at Market Perform,positive,0.547012925
2017-11-16,GBH Insights sees Apple becoming $1T company by next year,neutral,0.918280005
2017-11-16,TechCrunch: Apple's VP of diversity leaving at year's end,neutral,0.78747493
2017-11-17,Fast Company: Apple and Intel working together on 5G modem,negative,0.75975889
2017-11-17,Apple HomePod launch delayed until next year,positive,0.560189188
2017-11-20,Digitimes: Apple cuts microLED research team,neutral,0.720527887
2017-11-20,Moody's: Tech sector could hold half of cash and liquid investments this year,negative,0.949213386
2017-11-21,Apple pulls Skype from China App Store; Foxconn works students for iPhone X,neutral,0.88275826
2017-11-21,Bloomberg: Apple plans to ship 4M HomePod units next year,neutral,0.835729241
2017-11-21,Ireland closer to collecting Apple taxes,neutral,0.797495306
2017-11-21,Report: Apple buys start-up to help build AR headset,neutral,0.854178607
2017-11-22,Research posted on Apple's self-driving cars,neutral,0.595581591
2017-11-22,China's Great Firewall claims new victims,neutral,0.942553997
2017-11-22,Apple could release lower cost iPhone SE 2 in 1H18,negative,0.478396833
2017-11-27,"UBS lowers iPhone sales, FY18 EPS estimates",neutral,0.842986822
2017-11-28,Legality of patent reviews?,negative,0.961342454
2017-11-28,Apple SVP Srouji sells over $1.8M of shares,neutral,0.934559822
2017-11-28,Rosenblatt: Apple sold 6M iPhone X units during Black Friday,neutral,0.913512111
2017-11-28,Apple expected to test autonomous vehicles in Arizona,neutral,0.752133489
2017-11-29,Apple rushes to fix OS security issue,neutral,0.815685332
2017-11-29,Apple countersues Qualcomm for patent infringement,neutral,0.680617392
2017-11-29,Apple auditing software development process after macOS flaw,negative,0.70497191
2017-11-30,Nikkei: Apple will design main power management chips for iPhones (update),neutral,0.93524617
2017-11-30,Qualcomm sues Apple back; Piper Jaffray analyst predicts iPhone future,neutral,0.870232344
2017-12-04,Dialog comments on Apple chip rumors,negative,0.453447282
2017-12-04,"Apple roundup: iPhone X and AirPod sales forecasts, tax repayments start soon",neutral,0.921069384
2017-12-04,Oppenheimer Global ESG Revenue ETF (ESGF) November Summary,neutral,0.859577537
2017-12-04,Oppenheimer Large Cap Revenue ETF (RWL) November Summary,neutral,0.930242956
2017-12-05,EU court sides with Apple in Xiaomi trademark case,neutral,0.90063566
2017-12-05,Apple's U.S. market share dropped ahead of iPhone X,negative,0.867856026
2017-12-05,"Apple acquires podcast search company, unveils new ad program",negative,0.972081244
2017-12-06,No date for Apple's Ireland repayment; Cook expects pulled China apps to return,neutral,0.881711543
2017-12-06,Apple suppliers drop after Largan warns of lower Dec. revenue,neutral,0.923341274
2017-12-07,Apple suppliers recover after Broadcom sales comments,negative,0.970960021
2017-12-07,LG Display could supply OLED panels for iPhone X,negative,0.659330308
2017-12-08,"Digitimes: Apple suppliers shipments down on month, expect weak Dec.",neutral,0.850477457
2017-12-08,TechCrunch: Apple will acquire Shazam app,negative,0.971365452
2017-12-08,Jony Ive back in charge of Apple design team,neutral,0.923808217
2017-12-09,The cost of Apple's new campus?,neutral,0.893635213
2017-12-11,"Apple, India squabble over import taxes",neutral,0.854590416
2017-12-11,"TechCrunch: Apple will announce Shazam acquisition today, paid about $400M (update)",negative,0.901808679
2017-12-12,Apple will launch iMac Pro on Thursday,neutral,0.934133053
2017-12-13,Apple invests $390M in Finisar,neutral,0.926389813
2017-12-13,"Finisar clarifies Apple investment, Apple COO discusses $1B fund's limits",neutral,0.891258538
2017-12-15,India's import tax increase could hurt Apple's market share,neutral,0.948524654
2017-12-15,EU rejects U.S. bid to intervene in Apple back tax case,negative,0.96140635
2017-12-18,Reuters: Apple increases iPhone prices in India after tax hike,negative,0.699670494
2017-12-19,"Nomura downgrades Apple, lowers price target",positive,0.905640841
2017-12-20,IDC: Watches will dominate wearables market in 2021,negative,0.812685728
2017-12-20,Korea Herald: Samsung will quadruple iPhone OLED output in 2018,neutral,0.871936917
2017-12-20,"Apple unifying OS apps, responds to phone slowing accusations",positive,0.614681721
2017-12-21,"Morgan Stanley calls Apple a top pick"" on China growth""",neutral,0.783939183
2017-12-21,Bloomberg: Apple testing advanced heart rate monitor in Watch,positive,0.713560402
2017-12-22,Apple sued over iPhone slowdown,neutral,0.859987795
2017-12-22,Apple hires more Amazon Studios execs,negative,0.937933922
2017-12-22,Apple sanctioned for withholding documents in FTC case against Qualcomm,neutral,0.836472988
2017-12-26,"Apple, suppliers drop on iPhone X sales report",negative,0.78986156
2017-12-26,Rosenblatt defends Apple on iPhone X sale cut,negative,0.970437109
2017-12-27,More lawsuits filed for iPhone slowdown,neutral,0.642066181
2017-12-27,Apple devices led Christmas activations,negative,0.951817334
2017-12-28,Apple boosts pay for Tim Cook,neutral,0.640295267
2017-12-28,"Apple, Amazon heading to Saudi Arabia?",positive,0.869040966
2017-12-28,LG Display denies supplying OLED panels for iPhone X,neutral,0.919972301
2017-12-28,"Apple faces another legal challenge, competitor brags about not throttling",neutral,0.88325125
2017-12-28,Apple's apology letter to consumers includes $29 batteries,negative,0.948845685
2017-12-29,"Apple roundup: iPhone tops 2017 tech sales, more battery woes",neutral,0.883481681
2017-12-29,"Boeing, Caterpillar top Dow 2017 standings; GE lags far behind",positive,0.754875064
2017-12-31,2017 leaders and laggards,positive,0.544859111
2018-01-02,Apple instructs Stores to offer $29 battery regardless of diagnostic test,neutral,0.70200938
2018-01-02,"Apple analyst says low iPhone X estimates still too high""""",neutral,0.941689968
2018-01-02,TechCrunch: Apple acquires mobile app iteration company,negative,0.917448699
2018-01-04,Oppenheimer Global ESG Revenue ETF (ESGF) December Summary,neutral,0.908218265
2018-01-04,Oppenheimer Large Cap Revenue ETF (RWL) December Summary,neutral,0.925950527
2018-01-04,GBH: Apple could repatriate $200B,neutral,0.880689144
2018-01-04,Apple App Store's record-breaking holiday season included $300M in a day,neutral,0.791773558
2018-01-04,"Reports: With shares vesting, Iovine to leave Apple",neutral,0.704954088
2018-01-04,Apple confirms all its devices affected by processor exploits,negative,0.748378992
2018-01-05,WSJ: Apple product delays doubled under CEO Cook,neutral,0.538529336
2018-01-08,Apple Watch control coming to Whirlpool appliances; KeyBanc sees poor iPhone X sales,negative,0.680161715
2018-01-08,UBS: Apple could repurchase $122B through 2019,negative,0.923739016
2018-01-09,Apple pledges better parental control features,neutral,0.902173936
2018-01-10,Apple will transfer China cloud business to partner next month; Iovine not leaving Music,neutral,0.542827547
2018-01-10,"Apple faces questions from U.S. Senator, class-action lawsuits, and tax reveal",neutral,0.944143772
2018-01-12,"Apple roundup: Cowen's iPhone build note, Mac sales +7%, AR glasses discussions",negative,0.907046258
2018-01-16,Apple iPhone activations up 10 points in Q4,neutral,0.495737433
2018-01-17,Longbow downgrades Apple on lower iPhone forecast,positive,0.948167026
2018-01-17,BofAML raises Apple's price target to $1.1T valuation,negative,0.955621064
2018-01-17,"Apple plans to add $350B to US economy, $38B in repatriated tax payments",neutral,0.634637952
2018-01-17,"Bloomberg: Apple employees will get $2,500 bonus",positive,0.771571875
2018-01-18,Apple lets users decide on iPhone slowdown,neutral,0.917045951
2018-01-18,"Apple still owes EU tax bill, payments start in March",neutral,0.94264245
2018-01-18,"TSMC expects iPhone shipments to drop, softened by crypto mining boost",neutral,0.931379139
2018-01-19,"Apple, suppliers drop as key analyst lowers iPhone X lifetime sales forecast",negative,0.973057806
2018-01-19,TechCrunch: Apple hires tech team from business consulting startup,negative,0.967641413
2018-01-22,Apple receives second downgrade in a week on weaker Q2 expectations,neutral,0.835763276
2018-01-22,Deutsche Boerse launches AI innovator index,negative,0.966032863
2018-01-23,Apple's HomePod smart speaker launches Feb. 9,neutral,0.890226543
2018-01-23,"Apple roundup: iPhone X sells 29M units, new MacBook rumor, Foxconn shift",neutral,0.88825053
2018-01-23,FT: Qualcomm facing potential $2B EU fine over Apple,neutral,0.746203065
2018-01-23,"Apple, suppliers move after JPMorgan says iPhone X build will weaken",negative,0.95059818
2018-01-24,EU slaps Qualcomm with $1.2B antitrust fine,negative,0.61694324
2018-01-24,"Apple previews iOS 11.3 with battery management features, health records",negative,0.959339559
2018-01-24,Apple -1.1% awaiting CNBC analyst interview with cautionary comments (update),neutral,0.849668145
2018-01-25,Apple iBooks redesign coming; Sonos discounts Alexa speakers to match HomePod,neutral,0.842399716
2018-01-25,"Apple roundup: New self-driving vehicles join fleet, original content push gets new show",neutral,0.633850157
2018-01-26,"Rosenblatt, BTIG disagree on Apple's Q1 potential",positive,0.582770944
2018-01-27,CRB decision has music streamers paying more for rights,neutral,0.849314332
2018-01-28,Streaming services pay more for music,neutral,0.538424969
2018-01-29,Apple halving iPhone X production in Q1,neutral,0.847666442
2018-01-29,"Bloomberg: Apple releasing new iPad, three Macs this year",negative,0.957316875
2018-01-30,Apple delaying some iOS updates; WSJ reports on iPhone X production cuts,neutral,0.855336368
2018-01-30,"Deutsche Bank: Apple consensus estimates still too high for Q1, Q2",negative,0.90532279
2018-01-30,Bloomberg: DOJ and SEC investigating Apple iPhone throttling,negative,0.90640676
2018-01-31,"BMO downgrades Apple, expects revenue guidance cut",negative,0.565526783
2018-01-31,Apple admits to government questioning; new iPhone coming to India?,negative,0.609326541
2018-01-31,Notable earnings after Thursdayâs close,neutral,0.861272931
2018-02-01,Big results expected from 'Big Tech',positive,0.474116623
2018-02-01,"Apple roundup: Record Q4 for iPhone, refurbished iPhone 7, India import tax hike",positive,0.930455923
2018-02-01,"Apple beats by $0.04, beats on revenue",positive,0.904820383
2018-02-01,Apple declares $0.63 dividend,positive,0.730748594
2018-02-01,"Apple -1% on Q1 unit sales drop, downside guidance",neutral,0.870654225
2018-02-01,"Apple: No soft Q2 for iPhones, plans to reduce $163B net cash to approximately zero""""",negative,0.963693976
2018-02-02,Apple down more than 2% as results/guidance digested,negative,0.930879116
2018-02-02,"Moody's not too concerned with Apple's cash neutral"" policy""",negative,0.967478812
2018-02-02,Apple launches free repairs for iPhone 7 glitch,neutral,0.927194655
2018-02-03,Report: Apple's first China data center eyes 2020 opening,neutral,0.889195859
2018-02-05,WSJ: Apple Music closing in on Spotify,neutral,0.902967155
2018-02-05,"Apple, Cisco team to offer cybersecurity insurance discounts",neutral,0.811712921
